Texto;Etiquetado
@giomaeli muchas gracias 🙏🏻😊;Positivo
@alexisjosueh ¡Felicitaciones por este gran trabajo, Alexis! Eres todo un #OrgulloUPN 👏👏👏;Positivo
@alexisjosueh felicidades, excelente trabajo🙌🏻;Positivo
@alexisjosueh felicitaciones, las fotografias salieron hermosas 🙌.;Positivo
Muchas gracias 🙏🏻♥️;Positivo
��👍;Positivo
Un crack.;Positivo
��👏👏;Positivo
��👏👏;Positivo
Wow 🙌🔥;Positivo
Un crack 💯💪🔥;Positivo
Tremendo...¡ Que genio!🔥;Positivo
Eow que capo💪👌👌👌;Positivo
��😍😍;Positivo
@alxxpaul tu tmb hermano! Vamos por mas;Positivo
@alexisjosueh eres el mejor hermano!;Positivo
@aaronluchini;Neutro
@jhefferson.11;Neutro
@estefa.nia.lm  Si ya lo habia visto. Espectacular✨;Positivo
@maferrojasmontes;Neutro
Genial, eres un capo💪😎;Positivo
��😻😻;Positivo
��👏👏👏 hermosas fotos🙌;Positivo
@janethdari Que genioooo!!!👌;Positivo
@fernando_silup  wow;Positivo
Super 👏👏👏;Positivo
Capo! 👏;Positivo
✨✨✨📸;Positivo
��;Positivo
Crack!! 👌🏻;Positivo
@alexisjosueh!!!! Felicidades!!;Positivo
@paulams_12;Neutro
@andreamed123 fotazos;Positivo
@ederron359;Neutro
Excelentes fotografias ¡Felicidades!;Positivo
��👏👏;Positivo
��;Positivo
@alexisjosueh 🙏🏻;Positivo
@medina_zapata_2003;Neutro
@chil_let @erickjair24;Neutro
Estamos en cuarentena, es injusto que pongan fechas de pago cuando hay muchos que trabajan y no tendran ingresos. Sean conscientes por todo lo que el mundo esta pasando.;Negativo
@universidadprivadadelnorte me gustaria que haya un elenco de danzas 😊;Positivo
Tienen seleccion de varones ?;Positivo
@celesteoyanguren me caso 😅😅;Neutro
@jeanpiers9 Un elenco de danza!!;Neutro
Un elenco de danza seria genial 💃💃 @universidadprivadadelnorte;Neutro
��🏽🙌🏽🙌🏽🙌🏽🙌🏽;Positivo
Para futbol no hay??;Positivo
@victornv27 jajaja;Neutro
@mariella_chuquisengo y tu donde andas;Positivo
@hersonmilla jajaja eres mi fans 😂;Positivo
@villanuevaruizanny 😂😂😂;Positivo
@villanuevaruizanny  Jajajaja 🤪;Positivo
publiquen cuando juegan partir a verlas;Negativo
Felicitaciones;Positivo
No hay de varones?;Positivo
@shally_ledesma exacto , como se hace para participar;Positivo
@shally_ledesma  ni idea.. tbm quiero participar .  Alguna info.?;Positivo
@shally_ledesma Hay una convocatoria al inicio de cada ciclo. Tambien puedes acercarte a la oficina de Vida Universitaria de tu campus para la pre inscripcion en las pruebas tecnicas. Te esperamos! 😄;Neutro
Cuando se formo el equipo?;Positivo
Bravo 👏👏👏👏;Positivo
@gianluca.lescano 🤔;Neutro
@universidadprivadadelnorte informacion!! me gustaria formar parte del equipo!!!! 🙌💪;Positivo
��🏽👏🏼;Positivo
Deberian tener judo !;Neutro
Bien sobrina 😎;Positivo
@jeanapartwork salgo gordita😂😂😂😂;Neutro
@arianamagan24 wapaax🍭;Neutro
Bieen ahi @arianamagan24 @marroquinjufree;Positivo
Como hago quiero pertenecer,;Positivo
@coronadomxx 🤣;Positivo
@ysabellpz_ JAJAJAJA;Positivo
Etiquetenlas pe v;Neutro
@davfor84 payaso 😅😅😅😅;Positivo
@mapi0916  no te veo a ti :vvv;Neutro
@arleth_yap 💞;Positivo
@iamestacyv 😘😘;Positivo
Felicidades chicassss!!!!!!... en alto😘;Positivo
❤️❤️❤️🙌🙌🙌👏👏👏;Positivo
@cesar_vasquez7  mira 😭 si hay seleccion de voley @yamilegarro_11;Neutro
Yo tbm quiero participar 🙄;Positivo
Y de futbol femenino?;Positivo
@val_lm22 epaaaaaa mi niña❤❤❤ gracias peeeero tuuuuu mas!!!!;Positivo
@gie_suarez16 preciosa 🤤❤️;Positivo
��;Positivo
❤️🇵🇪;Positivo
Mi bb....karlaps1807....♥️♥️♥️;Positivo
Diablos ... cuando formaron el equipo?;Positivo
No hay de varones?;Positivo
Yo tambien quiero participar , cuando seran las convocatorias?;Positivo
@jeanpiere1608 Felicitaciones y que sean muchos exitos mas! 👏;Positivo
Mi mejor momento ❤️ #bachiller #upn #universidadprivadadelnorte;Positivo
@miguelvasquez_1999 son nuestros graduados de todas nuestras carreras profesionales en nuestros campus de Trujillo 😉;Neutro
administracion seguro;Neutro
@limascooters Muchas gracias!;Positivo
Felicidades 🍾🎉;Positivo
@luztomanguilla todas nuestras carreras profesionales de nuestros campus en Trujillo 😊;Neutro
De que carreras son?;Positivo
@ever2227 eniiiiisssss!!! Me mueroooo ...;Positivo
@enamestanzan hasta en la pagina de la universidad @liset.guti;Neutro
��👍💪😎😎😎😎;Positivo
@estefanyvasquez.p por supuesto! Para nuestros graduandos de campus en Lima la ceremonia sera este sabado 11/05. 😊;Positivo
Para los que culminarom en la sede de Los Olivos... ¿No realizaran igual la ceremonia de graduacion?;Positivo
@cordova8625 asi es! Es la graduacion de Trujillo 😊;Positivo
Es de trujillo?;Positivo
@alej.yc obvio amiga nosotras en un futuro💛🔥;Positivo
@mamademica16 @angelica.quine nosotras en el futuro;Neutro
@pabloluna.a puedes compartirlas usando el #GraduacionUPN 💛;Positivo
Gracias;Positivo
Como puedo mandar fotos de mi graduacion;Positivo
@fla0610jus siiii🌸🌸🌸;Positivo
@fla0610jus y yo ? Un estratega mas jaja;Neutro
@abigahile  nosotras el otro año 😍;Positivo
Felicidades 😍😍;Positivo
@helemeduviges Nuestro orgullo 🎓👏;Positivo
Nuestros logros 👩🏻‍🎓👩🏻‍🎓;Positivo
Hermosoooooo 👏;Positivo
@universidadprivadadelnorte que es Graduandos?;Negativo
Felicidades 🙌🙌🙌;Positivo
P;Neutro
asu increible🔥;Positivo
@dennisespinozamachado  choquin ese es tu proyecto;Neutro
��🙌🙌;Positivo
El brazo robotico ya es un invento antiguo 🤦🏼‍♂️.....;Negativo
��💪😎;Positivo
@moran.vega24 Ya pues hijito, cuando te veo en las noticias?;Positivo
@oyolasiguas;Neutro
��;Positivo
Bravazo!🙌;Positivo
Excelente jovenes..... sigan asi buscando la innovacion y la transformacion de nuestra sociedad.... exitos....;Positivo
Suban el link del video para verlo. 🙌;Positivo
@marian.jauregui 😍;Positivo
Felicidades chicas!🙌 @sandradanielacs Felicidades!;Positivo
Excelente...;Positivo
Felicidades chicas, bien merecido....♥️;Positivo
��💕;Positivo
❤️;Positivo
��🥇💪;Positivo
��👏🙌;Positivo
��🏻👏🏻👏🏻;Positivo
Genial!;Positivo
@xxalessandrx  voy a luxhar hasta el ultimo V:;Neutro
@angiegnll mi basquet para damas XXXDDDD;Neutro
....muy emocionante partido....bravo chicas.... UPN campeon...🏆;Positivo
@ellenxmg__ si ps manita nos ROBARON el triunfo como ya tu sabes .;Negativo
@arnld97_ que paso manito??? Te ganamos xdd;Neutro
��👏👏👏👏🔝;Positivo
��👏👏👏;Positivo
Bravooooo chicas 👏👏👏;Positivo
Que orgullo 💖;Positivo
Felicidades guapas !!!;Positivo
Vamos Puppy! 🙌;Positivo
Vamos Fabian 👏👏👏 a darlo todo hasta el ultimo aliento;Positivo
